1st,2nd,3rd,4th,Prize,1 / Probability
4,3,5,11,"$12,987.00",19501.12
4,3,5,12,"$15,585.00",23401.34
4,3,6,1,"$1,750.00",2627.73
4,3,6,2,"$2,333.00",3503.64
4,3,6,5,"$5,250.00",7883.18
4,3,6,7,"$6,417.00",9635.01
4,3,6,8,"$7,000.00",10510.91
4,3,6,9,"$8,750.00",13138.64
4,3,6,10,"$11,667.00",17518.20
4,3,6,11,"$14,583.00",21897.75
4,3,6,12,"$17,500.00",26277.27
4,3,7,2,"$2,589.00",3887.10
4,3,7,5,"$5,825.00",8745.97
4,3,7,6,"$6,472.00",9717.74
4,3,7,8,"$7,766.00",11661.29
4,3,7,9,"$9,708.00",14576.60
4,3,7,10,"$12,944.00",19435.48
4,3,7,11,"$16,180.00",24294.37
4,3,7,12,"$19,415.00",29153.24
4,3,8,1,"$2,133.00",3202.91
4,3,8,2,"$2,844.00",4270.55
4,3,8,5,"$6,399.00",9608.74
4,3,8,6,"$7,110.00",10676.38
4,3,8,7,"$7,821.00",11744.02
4,3,8,9,"$10,665.00",16014.58
4,3,8,10,"$14,221.00",21352.78
4,3,8,11,"$17,776.00",26690.94
4,3,8,12,"$21,331.00",32029.11
4,3,9,1,"$2,708.00",4065.70
4,3,9,2,"$3,610.00",5420.93
4,3,9,5,"$8,123.00",12197.09
4,3,9,6,"$9,026.00",13552.32
4,3,9,7,"$9,928.00",14907.55
4,3,9,8,"$10,831.00",16262.78
4,3,9,10,"$18,051.00",27104.60
4,3,9,11,"$22,564.00",33880.85
4,3,9,12,"$27,077.00",40657.02
4,3,10,1,"$3,665.00",5503.66
4,3,10,2,"$4,887.00",7338.22
4,3,10,5,"$10,996.00",16511.00
4,3,10,6,"$12,218.00",18345.56
4,3,10,7,"$13,440.00",20180.09
4,3,10,8,"$14,661.00",22014.65
4,3,10,9,"$18,327.00",27518.34
4,3,10,11,"$30,544.00",45863.78
4,3,10,12,"$36,653.00",55036.68
4,3,11,1,"$4,623.00",6941.63
4,3,11,2,"$6,164.00",9255.51
4,3,11,5,"$13,869.00",20824.87
4,3,11,6,"$15,410.00",23138.77
4,3,11,7,"$16,951.00",25452.68
4,3,11,8,"$18,492.00",27766.52
4,3,11,9,"$23,115.00",34708.12
4,3,11,10,"$30,820.00",46277.44
4,3,11,12,"$46,230.00",69416.49
4,3,12,1,"$5,581.00",8379.60
4,3,12,2,"$7,441.00",11172.80
4,3,12,5,"$16,742.00",25138.77
4,3,12,6,"$18,602.00",27932.02
4,3,12,7,"$20,462.00",30725.18
4,3,12,8,"$22,323.00",33518.35
4,3,12,9,"$27,903.00",41897.98
4,3,12,10,"$37,204.00",55864.05
4,3,12,11,"$46,505.00",69829.96
4,5,1,2,"$1,172.00",1759.17
4,5,1,6,"$2,929.00",4397.92
4,5,1,7,"$3,222.00",4837.72
4,5,1,8,"$3,515.00",5277.51
4,5,1,9,"$4,393.00",6596.88
4,5,1,10,"$5,858.00",8795.85
4,5,1,11,"$7,322.00",10994.81
4,5,1,12,"$8,787.00",13193.78
4,5,2,1,"$1,278.00",1919.52
4,5,2,3,"$2,131.00",3199.20
4,5,2,6,"$4,261.00",6398.39
4,5,2,7,"$4,687.00",7038.23
4,5,2,8,"$5,113.00",7678.07
4,5,2,9,"$6,392.00",9597.59
4,5,2,10,"$8,522.00",12796.79
4,5,2,11,"$10,653.00",15995.98
4,5,2,12,"$12,784.00",19195.18
4,5,3,1,"$1,678.00",2519.66
4,5,3,2,"$2,237.00",3359.55
4,5,3,6,"$5,593.00",8398.87
4,5,3,7,"$6,153.00",9238.75
4,5,3,8,"$6,712.00",10078.63
4,5,3,9,"$8,390.00",12598.30
4,5,3,10,"$11,187.00",16797.72
4,5,3,11,"$13,984.00",20997.15
4,5,3,12,"$16,780.00",25196.60
4,5,6,1,"$3,676.00",5520.36
4,5,6,2,"$4,902.00",7360.49
4,5,6,3,"$6,127.00",9200.61
4,5,6,7,"$13,480.00",20241.32
4,5,6,8,"$14,706.00",22081.44
4,5,6,9,"$18,382.00",27601.82
4,5,6,10,"$24,510.00",36802.46
4,5,6,11,"$30,637.00",46003.03
4,5,6,12,"$36,765.00",55203.78
4,5,7,1,"$4,076.00",6120.51
4,5,7,2,"$5,435.00",8160.67
4,5,7,3,"$6,794.00",10200.84
4,5,7,6,"$13,587.00",20401.67
4,5,7,8,"$16,305.00",24482.02
4,5,7,9,"$20,381.00",30602.56
4,5,7,10,"$27,174.00",40803.34
4,5,7,11,"$33,968.00",51004.27
4,5,7,12,"$40,761.00",61205.13
4,5,8,1,"$4,476.00",6720.65
4,5,8,2,"$5,968.00",8960.86
4,5,8,3,"$7,460.00",11201.08
4,5,8,6,"$14,919.00",22402.14
4,5,8,7,"$16,411.00",24642.38
4,5,8,9,"$22,379.00",33603.28
4,5,8,10,"$29,839.00",44804.27
4,5,8,11,"$37,299.00",56005.47
4,5,8,12,"$44,758.00",67206.56
4,5,9,1,"$5,675.00",8521.07
4,5,9,2,"$7,566.00",11361.43
4,5,9,6,"$18,916.00",28403.52
4,5,9,7,"$20,808.00",31243.95
4,5,9,8,"$22,699.00",34084.32
4,5,9,10,"$37,832.00",56807.21
4,5,9,11,"$47,291.00",71009.11
4,5,9,12,"$56,749.00",85210.81
4,5,10,1,"$7,673.00",11521.77
4,5,10,2,"$10,231.00",15362.35
4,5,10,3,"$12,789.00",19202.96
4,5,10,6,"$25,578.00",38405.85
4,5,10,7,"$28,135.00",42246.50
4,5,10,8,"$30,693.00",46087.20
4,5,10,9,"$38,366.00",57609.00
4,5,10,11,"$63,944.00",96014.44
4,5,10,12,"$76,733.00",115217.99
4,5,11,1,"$9,672.00",14522.47
4,5,11,2,"$12,896.00",19363.30
4,5,11,3,"$16,119.00",24204.11
4,5,11,6,"$32,239.00",48408.33
4,5,11,7,"$35,463.00",53248.99
4,5,11,8,"$38,687.00",58089.89
4,5,11,9,"$48,358.00",72612.15
4,5,11,10,"$64,478.00",96816.67
4,5,11,12,"$96,717.00",145224.30
4,5,12,1,"$11,670.00",17523.17
4,5,12,2,"$15,560.00",23364.27
4,5,12,3,"$19,450.00",29205.27
4,5,12,6,"$38,900.00",58410.53
4,5,12,7,"$42,790.00",64251.66
4,5,12,8,"$46,680.00",70092.80
4,5,12,9,"$58,351.00",87615.54
4,5,12,10,"$77,801.00",116821.07
4,5,12,11,"$97,251.00",146025.90
4,6,1,2,"$1,329.00",1996.01
4,6,1,3,"$1,662.00",2495.01
4,6,1,5,"$2,991.00",4491.02
4,6,1,7,"$3,656.00",5489.02
4,6,1,8,"$3,988.00",5988.02
4,6,1,9,"$4,985.00",7485.03
4,6,1,10,"$6,647.00",9980.04
4,6,1,11,"$8,308.00",12475.05
4,6,1,12,"$9,970.00",14970.06
4,6,2,1,"$1,449.00",2175.76
4,6,2,3,"$2,415.00",3626.27
4,6,2,5,"$4,347.00",6527.28
4,6,2,7,"$5,313.00",7977.78
4,6,2,8,"$5,796.00",8703.04
4,6,2,9,"$7,245.00",10878.80
4,6,2,10,"$9,660.00",14505.07
4,6,2,11,"$12,075.00",18131.35
4,6,2,12,"$14,490.00",21757.58
4,6,3,1,"$1,901.00",2854.51
4,6,3,2,"$2,535.00",3806.02
4,6,3,5,"$5,703.00",8563.54
4,6,3,8,"$7,604.00",11418.05
4,6,3,9,"$9,505.00",14272.56
4,6,3,10,"$12,674.00",19030.08
4,6,3,11,"$15,842.00",23787.61
4,6,3,12,"$19,011.00",28545.17
4,6,5,1,"$3,709.00",5569.53
4,6,5,2,"$4,946.00",7426.04
4,6,5,3,"$6,182.00",9282.55
4,6,5,7,"$13,600.00",20421.62
4,6,5,8,"$14,837.00",22278.12
4,6,5,9,"$18,546.00",27847.63
4,6,5,10,"$24,728.00",37130.14
4,6,5,11,"$30,910.00",46412.76
4,6,5,12,"$37,092.00",55695.41
4,6,7,1,"$4,613.00",6927.04
4,6,7,2,"$6,151.00",9236.05
4,6,7,3,"$7,689.00",11545.06
4,6,7,5,"$13,840.00",20781.12
4,6,7,8,"$18,453.00",27708.12
4,6,7,9,"$23,066.00",34635.15
4,6,7,10,"$30,755.00",46180.20
4,6,7,11,"$38,444.00",57725.39
4,6,7,12,"$46,133.00",69270.31
4,6,8,1,"$5,065.00",7605.79
4,6,8,2,"$6,754.00",10141.05
4,6,8,3,"$8,442.00",12676.31
4,6,8,5,"$15,196.00",22817.35
4,6,8,7,"$18,573.00",27887.86
4,6,8,9,"$25,327.00",38028.89
4,6,8,10,"$33,769.00",50705.31
4,6,8,11,"$42,211.00",63381.40
4,6,8,12,"$50,653.00",76057.77
4,6,9,1,"$6,421.00",9642.05
4,6,9,2,"$8,562.00",12856.06
4,6,9,3,"$10,702.00",16070.09
4,6,9,5,"$19,264.00",28926.15
4,6,9,7,"$23,545.00",35354.18
4,6,9,8,"$25,686.00",38568.19
4,6,9,10,"$42,809.00",64280.16
4,6,9,11,"$53,512.00",80350.33
4,6,9,12,"$64,214.00",96420.86
4,6,10,1,"$8,682.00",13035.82
4,6,10,2,"$11,575.00",17381.09
4,6,10,3,"$14,469.00",21726.38
4,6,10,5,"$26,045.00",39107.41
4,6,10,7,"$31,833.00",47797.95
4,6,10,8,"$34,726.00",52143.35
4,6,10,9,"$43,408.00",65179.28
4,6,10,11,"$72,347.00",108631.89
4,6,10,12,"$86,816.00",130357.70
4,6,11,1,"$10,942.00",16429.59
4,6,11,2,"$14,589.00",21906.14
4,6,11,3,"$18,236.00",27382.63
4,6,11,5,"$32,825.00",49288.76
4,6,11,8,"$43,767.00",65718.57
4,6,11,9,"$54,709.00",82147.67
4,6,11,10,"$72,945.00",109530.22
4,6,11,12,"$109,418.00",164295.34
4,6,12,1,"$13,202.00",19823.37
4,6,12,2,"$17,603.00",26431.11
4,6,12,3,"$22,003.00",33038.96
4,6,12,5,"$39,606.00",59470.00
4,6,12,7,"$48,407.00",72685.51
4,6,12,8,"$52,808.00",79293.34
4,6,12,9,"$66,010.00",99116.87
4,6,12,10,"$88,013.00",132156.26
4,6,12,11,"$110,017.00",165193.69
4,7,1,2,"$1,487.00",2233.19
4,7,1,3,"$1,859.00",2791.49
4,7,1,5,"$3,346.00",5024.68
4,7,1,6,"$3,718.00",5582.98
4,7,1,8,"$4,462.00",6699.58
4,7,1,9,"$5,577.00",8374.47
4,7,1,10,"$7,436.00",11165.96
4,7,1,11,"$9,295.00",13957.45
4,7,1,12,"$11,154.00",16748.93
4,7,2,1,"$1,620.00",2432.35
4,7,2,3,"$2,700.00",4053.91
4,7,2,5,"$4,860.00",7297.04
4,7,2,6,"$5,400.00",8107.83
4,7,2,8,"$6,480.00",9729.39
4,7,2,9,"$8,099.00",12161.74
4,7,2,10,"$10,799.00",16215.66
4,7,2,11,"$13,499.00",20269.54
4,7,2,12,"$16,199.00",24323.50
4,7,3,1,"$2,124.00",3189.80
4,7,3,2,"$2,832.00",4253.07
4,7,3,5,"$6,373.00",9569.41
4,7,3,6,"$7,081.00",10632.66
4,7,3,8,"$8,497.00",12759.20
4,7,3,9,"$10,622.00",15949.01
4,7,3,10,"$14,162.00",21265.33
4,7,3,11,"$17,703.00",26581.68
4,7,3,12,"$21,243.00",31898.03
4,7,5,1,"$4,142.00",6219.61
4,7,5,2,"$5,523.00",8292.82
4,7,5,3,"$6,904.00",10366.02
4,7,5,6,"$13,807.00",20732.05
4,7,5,8,"$16,569.00",24878.47
4,7,5,9,"$20,711.00",31098.11
4,7,5,10,"$27,614.00",41464.01
4,7,5,11,"$34,518.00",51830.12
4,7,5,12,"$41,421.00",62196.02
4,7,6,1,"$4,647.00",6977.07
4,7,6,2,"$6,195.00",9302.76
4,7,6,3,"$7,744.00",11628.45
4,7,6,5,"$13,940.00",20931.19
4,7,6,8,"$18,586.00",27908.25
4,7,6,10,"$30,977.00",46513.79
4,7,6,11,"$38,722.00",58142.24
4,7,6,12,"$46,466.00",69770.52
4,7,8,1,"$5,655.00",8491.97
4,7,8,2,"$7,541.00",11322.63
4,7,8,3,"$9,426.00",14153.28
4,7,8,5,"$16,966.00",25475.89
4,7,8,6,"$18,852.00",28306.56
4,7,8,9,"$28,277.00",42459.78
4,7,8,10,"$37,703.00",56613.28
4,7,8,11,"$47,129.00",70766.40
4,7,8,12,"$56,555.00",84919.92
4,7,9,1,"$7,169.00",10764.33
4,7,9,2,"$9,558.00",14352.45
4,7,9,3,"$11,948.00",17940.57
4,7,9,5,"$21,507.00",32292.96
4,7,9,6,"$23,896.00",35881.13
4,7,9,8,"$28,675.00",43057.42
4,7,9,10,"$47,792.00",71762.27
4,7,9,11,"$59,740.00",89702.99
4,7,9,12,"$71,688.00",107643.79
4,7,10,1,"$9,691.00",14551.59
4,7,10,2,"$12,921.00",19402.14
4,7,10,3,"$16,152.00",24252.65
4,7,10,5,"$29,073.00",43654.78
4,7,10,6,"$32,304.00",48505.31
4,7,10,8,"$38,764.00",58206.54
4,7,10,9,"$48,455.00",72757.96
4,7,10,11,"$80,759.00",121263.57
4,7,10,12,"$96,911.00",145515.93
4,7,11,1,"$12,213.00",18338.87
4,7,11,2,"$16,284.00",24451.79
4,7,11,3,"$20,356.00",30564.78
4,7,11,5,"$36,640.00",55016.70
4,7,11,6,"$40,711.00",61129.55
4,7,11,8,"$48,853.00",73355.19
4,7,11,9,"$61,067.00",91694.33
4,7,11,10,"$81,422.00",122258.36
4,7,11,12,"$122,133.00",183388.66
4,7,12,1,"$14,736.00",22126.15
4,7,12,2,"$19,647.00",29501.48
4,7,12,3,"$24,559.00",36876.83
4,7,12,5,"$44,207.00",66378.58
4,7,12,6,"$49,119.00",73753.93
4,7,12,8,"$58,942.00",88504.19
4,7,12,9,"$73,678.00",110630.48
4,7,12,10,"$98,237.00",147507.85
4,7,12,11,"$122,797.00",184382.78
4,8,1,2,"$1,645.00",2470.64
4,8,1,3,"$2,057.00",3088.30
4,8,1,5,"$3,702.00",5558.93
4,8,1,6,"$4,113.00",6176.59
4,8,1,7,"$4,525.00",6794.25
4,8,1,9,"$6,170.00",9264.89
4,8,1,11,"$10,284.00",15441.49
4,8,1,12,"$12,340.00",18529.77
4,8,2,1,"$1,791.00",2689.19
4,8,2,3,"$2,985.00",4481.99
4,8,2,5,"$5,373.00",8067.59
4,8,2,6,"$5,970.00",8963.99
4,8,2,7,"$6,567.00",9860.39
4,8,2,9,"$8,955.00",13445.97
4,8,2,10,"$11,940.00",17927.96
4,8,2,11,"$14,925.00",22409.97
4,8,2,12,"$17,910.00",26891.99
4,8,3,1,"$2,348.00",3525.41
4,8,3,2,"$3,130.00",4700.55
4,8,3,5,"$7,044.00",10576.24
4,8,3,6,"$7,826.00",11751.38
4,8,3,7,"$8,609.00",12926.51
4,8,3,9,"$11,739.00",17627.08
4,8,3,10,"$15,652.00",23502.76
4,8,3,11,"$19,565.00",29378.41
4,8,3,12,"$23,479.00",35254.09
4,8,5,1,"$4,575.00",6870.28
4,8,5,2,"$6,101.00",9160.38
4,8,5,3,"$7,626.00",11450.48
4,8,5,6,"$15,252.00",22900.96
4,8,5,7,"$16,777.00",25191.01
4,8,5,9,"$22,877.00",34351.39
4,8,5,10,"$30,503.00",45801.81
4,8,5,11,"$38,129.00",57252.45
4,8,5,12,"$45,755.00",68703.02
4,8,6,1,"$5,132.00",7706.50
4,8,6,2,"$6,843.00",10275.34
4,8,6,3,"$8,554.00",12844.16
4,8,6,5,"$15,397.00",23119.52
4,8,6,7,"$18,819.00",28257.13
4,8,6,9,"$25,662.00",38532.53
4,8,6,10,"$34,216.00",51376.64
4,8,6,11,"$42,770.00",64220.71
4,8,6,12,"$51,324.00",77064.76
4,8,7,1,"$5,689.00",8542.72
4,8,7,2,"$7,586.00",11390.29
4,8,7,3,"$9,482.00",14237.85
4,8,7,5,"$17,068.00",25628.15
4,8,7,6,"$18,964.00",28475.75
4,8,7,9,"$28,446.00",42713.50
4,8,7,10,"$37,929.00",56951.50
4,8,7,11,"$47,411.00",71189.07
4,8,7,12,"$56,893.00",85427.01
4,8,9,1,"$7,917.00",11887.58
4,8,9,2,"$10,556.00",15850.12
4,8,9,3,"$13,195.00",19812.65
4,8,9,5,"$23,751.00",35662.70
4,8,9,6,"$26,390.00",39625.30
4,8,9,7,"$29,029.00",43587.80
4,8,9,10,"$52,779.00",79250.61
4,8,9,12,"$79,169.00",118876.38
4,8,10,1,"$10,701.00",16068.67
4,8,10,2,"$14,269.00",21424.88
4,8,10,3,"$17,836.00",26781.15
4,8,10,5,"$32,104.00",48206.01
4,8,10,6,"$35,671.00",53562.15
4,8,10,7,"$39,239.00",58918.49
4,8,10,9,"$53,507.00",80343.23
4,8,10,11,"$89,179.00",133906.45
4,8,10,12,"$107,014.00",160686.45
4,8,11,1,"$13,486.00",20249.76
4,8,11,2,"$17,981.00",26999.66
4,8,11,3,"$22,477.00",33749.58
4,8,11,5,"$40,458.00",60749.28
4,8,11,6,"$44,953.00",67499.16
4,8,11,7,"$49,449.00",74248.97
4,8,11,9,"$67,430.00",101248.39
4,8,11,10,"$89,906.00",134998.31
4,8,11,12,"$134,860.00",202498.84
4,8,12,1,"$16,270.00",24430.82
4,8,12,2,"$21,694.00",32574.46
4,8,12,3,"$27,117.00",40718.10
4,8,12,5,"$48,811.00",73292.29
4,8,12,6,"$54,235.00",81435.88
4,8,12,7,"$59,658.00",89580.05
4,8,12,9,"$81,352.00",122153.82
4,8,12,10,"$108,470.00",162871.75
4,8,12,11,"$135,587.00",203591.35
4,9,1,2,"$2,120.00",3184.01
4,9,1,3,"$2,651.00",3980.01
4,9,1,5,"$4,771.00",7164.02
4,9,1,6,"$5,301.00",7960.02
4,9,1,7,"$5,831.00",8756.02
4,9,1,8,"$6,361.00",9552.03
4,9,1,10,"$10,602.00",15920.04
4,9,1,11,"$13,253.00",19900.06
4,9,1,12,"$15,904.00",23880.08
4,9,2,1,"$2,305.00",3460.78
4,9,2,3,"$3,841.00",5767.96
4,9,2,5,"$6,914.00",10382.33
4,9,2,6,"$7,683.00",11535.91
4,9,2,7,"$8,451.00",12689.52
4,9,2,8,"$9,219.00",13843.11
4,9,2,10,"$15,365.00",23071.83
4,9,2,11,"$19,207.00",28839.80
4,9,2,12,"$23,048.00",34607.70
4,9,3,1,"$3,019.00",4533.55
4,9,3,2,"$4,026.00",6044.73
4,9,3,5,"$9,058.00",13600.63
4,9,3,6,"$10,064.00",15111.81
4,9,3,7,"$11,071.00",16623.00
4,9,3,8,"$12,077.00",18134.17
4,9,3,10,"$20,128.00",30223.62
4,9,3,11,"$25,160.00",37779.62
4,9,5,1,"$5,877.00",8824.63
4,9,5,2,"$7,836.00",11766.17
4,9,5,3,"$9,795.00",14707.72
4,9,5,6,"$19,590.00",29415.40
4,9,5,7,"$21,549.00",32357.01
4,9,5,8,"$23,508.00",35298.52
4,9,5,10,"$39,180.00",58830.80
4,9,5,11,"$48,975.00",73538.60
4,9,5,12,"$58,770.00",88246.45
4,9,6,1,"$6,591.00",9897.39
4,9,6,2,"$8,789.00",13196.53
4,9,6,3,"$10,986.00",16495.66
4,9,6,5,"$19,774.00",29692.18
4,9,6,7,"$24,169.00",36290.40
4,9,6,8,"$26,366.00",39589.54
4,9,6,10,"$43,943.00",65982.65
4,9,6,11,"$54,929.00",82478.31
4,9,6,12,"$65,915.00",98973.64
4,9,7,1,"$7,306.00",10970.17
4,9,7,2,"$9,741.00",14626.90
4,9,7,3,"$12,177.00",18283.61
4,9,7,5,"$21,918.00",32910.54
4,9,7,6,"$24,353.00",36567.22
4,9,7,8,"$29,224.00",43880.63
4,9,7,10,"$48,706.00",73134.70
4,9,7,11,"$60,883.00",91417.71
4,9,7,12,"$73,059.00",109702.05
4,9,8,1,"$8,020.00",12042.94
4,9,8,2,"$10,694.00",16057.24
4,9,8,3,"$13,367.00",20071.58
4,9,8,5,"$24,061.00",36128.86
4,9,8,6,"$26,735.00",40143.07
4,9,8,7,"$29,408.00",44157.52
4,9,8,10,"$53,469.00",80286.46
4,9,8,11,"$66,836.00",100358.28
4,9,8,12,"$80,204.00",120429.69
4,9,10,1,"$13,736.00",20625.11
4,9,10,2,"$18,315.00",27500.10
4,9,10,3,"$22,893.00",34375.13
4,9,10,5,"$41,208.00",61875.44
4,9,10,6,"$45,786.00",68750.26
4,9,10,7,"$50,365.00",75625.23
4,9,10,8,"$54,944.00",82500.08
4,9,10,11,"$114,466.00",171874.46
4,9,10,12,"$137,359.00",206249.36
4,9,11,1,"$17,308.00",25988.94
4,9,11,2,"$23,078.00",34651.96
4,9,11,3,"$28,847.00",43314.98
4,9,11,5,"$51,924.00",77966.63
4,9,11,6,"$57,694.00",86629.59
4,9,11,7,"$63,463.00",95292.55
4,9,11,8,"$69,233.00",103955.51
4,9,11,10,"$115,388.00",173259.18
4,9,11,12,"$173,081.00",259888.77
4,9,12,2,"$27,841.00",41803.75
4,9,12,3,"$34,801.00",52254.79
4,9,12,5,"$62,641.00",94058.33
4,9,12,6,"$69,601.00",104509.59
4,9,12,7,"$76,561.00",114959.71
4,9,12,8,"$83,521.00",125410.72
4,9,12,10,"$139,202.00",209016.99
4,9,12,11,"$174,003.00",261273.97
4,10,1,2,"$2,914.00",4374.86
4,10,1,3,"$3,642.00",5468.58
4,10,1,5,"$6,556.00",9843.45
4,10,1,6,"$7,284.00",10937.16
4,10,1,7,"$8,012.00",12030.89
4,10,1,8,"$8,741.00",13124.60
4,10,1,9,"$10,926.00",16405.73
4,10,1,11,"$18,210.00",27342.87
4,10,1,12,"$21,852.00",32811.52
4,10,2,1,"$3,163.00",4748.65
4,10,2,3,"$5,271.00",7914.42
4,10,2,5,"$9,488.00",14245.95
4,10,2,6,"$10,542.00",15828.82
4,10,2,7,"$11,596.00",17411.71
4,10,2,8,"$12,650.00",18994.62
4,10,2,9,"$15,813.00",23743.27
4,10,2,11,"$26,354.00",39572.15
4,10,2,12,"$31,625.00",47486.54
4,10,3,1,"$4,140.00",6216.15
4,10,3,2,"$5,520.00",8288.20
4,10,3,5,"$12,420.00",18648.44
4,10,3,6,"$13,799.00",20720.49
4,10,3,7,"$15,179.00",22792.54
4,10,3,8,"$16,559.00",24864.61
4,10,3,9,"$20,699.00",31080.71
4,10,3,11,"$34,499.00",51801.13
4,10,3,12,"$41,398.00",62161.61
4,10,5,1,"$8,049.00",12086.15
4,10,5,2,"$10,732.00",16114.87
4,10,5,3,"$13,415.00",20143.58
4,10,5,6,"$26,831.00",40287.17
4,10,5,7,"$29,514.00",44315.83
4,10,5,8,"$32,197.00",48344.68
4,10,5,9,"$40,246.00",60430.63
4,10,5,11,"$67,076.00",100718.12
4,10,5,12,"$80,492.00",120861.99
4,10,6,1,"$9,026.00",13553.66
4,10,6,2,"$12,035.00",18071.55
4,10,6,3,"$15,044.00",22589.43
4,10,6,5,"$27,079.00",40660.98
4,10,6,7,"$33,097.00",49696.85
4,10,6,8,"$36,106.00",54214.65
4,10,6,9,"$45,132.00",67768.12
4,10,6,11,"$75,221.00",112947.13
4,10,6,12,"$90,265.00",135536.25
4,10,7,1,"$10,004.00",15021.15
4,10,7,3,"$16,673.00",25035.24
4,10,7,5,"$30,011.00",45063.52
4,10,7,6,"$33,346.00",50070.60
4,10,7,8,"$40,015.00",60084.60
4,10,7,9,"$50,019.00",75105.52
4,10,7,11,"$83,365.00",125176.81
4,10,7,12,"$100,038.00",150211.05
4,10,8,1,"$10,981.00",16488.64
4,10,8,2,"$14,642.00",21984.88
4,10,8,3,"$18,302.00",27481.06
4,10,8,5,"$32,943.00",49466.01
4,10,8,6,"$36,604.00",54962.27
4,10,8,7,"$40,264.00",60458.40
4,10,8,9,"$54,906.00",82442.95
4,10,8,11,"$91,509.00",137406.05
4,10,8,12,"$109,811.00",164885.90
4,10,9,1,"$13,913.00",20891.18
4,10,9,2,"$18,551.00",27854.84
4,10,9,3,"$23,189.00",34818.58
4,10,9,5,"$41,739.00",62673.53
4,10,9,6,"$46,377.00",69637.40
4,10,9,7,"$51,015.00",76600.76
4,10,9,8,"$55,652.00",83564.53
4,10,9,11,"$115,943.00",174091.68
4,10,9,12,"$139,131.00",208912.19
4,10,11,1,"$23,686.00",35566.18
4,10,11,2,"$31,582.00",47421.46
4,10,11,3,"$39,477.00",59276.82
4,10,11,5,"$71,059.00",106698.53
4,10,11,6,"$78,955.00",118553.65
4,10,11,7,"$86,850.00",130408.70
4,10,11,8,"$94,746.00",142263.70
4,10,11,9,"$118,432.00",177831.52
4,10,11,12,"$236,864.00",355656.72
4,10,12,1,"$28,573.00",42903.72
4,10,12,2,"$38,097.00",57204.97
4,10,12,3,"$47,622.00",71506.21
4,10,12,5,"$85,719.00",128711.72
4,10,12,6,"$95,243.00",143012.41
4,10,12,7,"$104,768.00",157314.33
4,10,12,8,"$114,292.00",171614.90
4,10,12,9,"$142,865.00",214518.62
4,10,12,11,"$238,109.00",357525.92
4,11,1,2,"$3,707.00",5566.87
4,11,1,3,"$4,634.00",6958.58
4,11,1,5,"$8,342.00",12525.44
4,11,1,6,"$9,269.00",13917.17
4,11,1,7,"$10,195.00",15308.87
4,11,1,8,"$11,122.00",16700.60
4,11,1,9,"$13,903.00",20875.74
4,11,1,10,"$18,537.00",27834.30
4,11,1,12,"$27,806.00",41751.56
4,11,2,1,"$4,021.00",6037.66
4,11,2,3,"$6,702.00",10062.77
4,11,2,6,"$13,403.00",20125.54
4,11,2,7,"$14,744.00",22138.10
4,11,2,8,"$16,084.00",24150.68
4,11,2,9,"$20,105.00",30188.31
4,11,2,10,"$26,806.00",40251.17
4,11,2,12,"$40,210.00",60376.63
4,11,3,1,"$5,261.00",7900.18
4,11,3,2,"$7,015.00",10533.58
4,11,3,5,"$15,784.00",23700.56
4,11,3,6,"$17,538.00",26333.95
4,11,3,7,"$19,292.00",28967.37
4,11,3,8,"$21,045.00",31600.77
4,11,3,9,"$26,307.00",39500.87
4,11,3,10,"$35,076.00",52667.89
4,11,3,12,"$52,614.00",79002.05
4,11,5,1,"$10,223.00",15350.25
4,11,5,2,"$13,631.00",20467.02
4,11,5,3,"$17,038.00",25583.76
4,11,5,6,"$34,077.00",51167.38
4,11,5,7,"$37,484.00",56284.12
4,11,5,8,"$40,892.00",61400.92
4,11,5,9,"$51,115.00",76751.27
4,11,5,10,"$68,153.00",102335.29
4,11,5,12,"$102,230.00",153501.37
4,11,6,1,"$11,463.00",17212.77
4,11,6,2,"$15,285.00",22950.36
4,11,6,3,"$19,106.00",28687.98
4,11,6,5,"$34,390.00",51638.22
4,11,6,7,"$42,032.00",63113.38
4,11,6,8,"$45,854.00",68851.08
4,11,6,9,"$57,317.00",86063.70
4,11,6,10,"$76,423.00",114751.28
4,11,6,12,"$114,634.00",172128.89
4,11,7,1,"$12,704.00",19075.27
4,11,7,2,"$16,938.00",25433.71
4,11,7,3,"$21,173.00",31792.16
4,11,7,5,"$38,111.00",57225.92
4,11,7,6,"$42,346.00",63584.11
4,11,7,8,"$50,815.00",76300.93
4,11,7,9,"$63,519.00",95376.16
4,11,7,10,"$84,692.00",127168.22
4,11,7,12,"$127,038.00",190752.33
4,11,8,1,"$13,944.00",20937.80
4,11,8,2,"$18,592.00",27917.05
4,11,8,3,"$23,240.00",34896.34
4,11,8,5,"$41,833.00",62813.28
4,11,8,6,"$46,481.00",69792.44
4,11,8,7,"$51,129.00",76771.90
4,11,8,9,"$69,721.00",104689.02
4,11,8,10,"$92,961.00",139584.87
4,11,8,12,"$139,442.00",209375.85
4,11,9,1,"$17,665.00",26525.34
4,11,9,2,"$23,554.00",35367.18
4,11,9,3,"$29,442.00",44208.86
4,11,9,6,"$58,885.00",88418.11
4,11,9,7,"$64,773.00",97259.23
4,11,9,8,"$70,662.00",106101.92
4,11,9,10,"$117,769.00",176834.66
4,11,9,12,"$176,654.00",265251.99
4,11,10,1,"$23,867.00",35837.93
